Name,Common_name,Uniprot_ID,ChEMBL_ID,Class,Probability,Known_Actives,,NA.1
Prostanoid EP4 receptor,PTGER4,P35408,CHEMBL1836,Family A G protein-coupled receptor,0.033970689612,0 /  2     ,NA,NA
Prostaglandin E synthase,PTGES,O14684,CHEMBL5658,Enzyme,0.0535560755162,34 /  8     ,NA,NA
Prostaglandin E synthase 2,PTGES2,Q9H7Z7,CHEMBL4411,Enzyme,0.0604245879294,11 /  0     ,NA,NA
Prostanoid FP receptor,PTGFR,P43088,CHEMBL1987,Family A G protein-coupled receptor,0.0238327432783,0 /  1     ,NA,NA
Prostanoid IP receptor,PTGIR,P43119,CHEMBL1995,Family A G protein-coupled receptor,0.0535560755162,99 /  8     ,NA,NA
Cyclooxygenase-1,PTGS1,P23219,CHEMBL221,Oxidoreductase,0.0312265582077,2 /  14     ,NA,NA
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.0312265582077,8 /  87     ,NA,NA
Focal adhesion kinase 1,PTK2,Q05397,CHEMBL2695,Kinase,0.0414702990123,0 /  2     ,NA,NA
Protein tyrosine kinase 2 beta,PTK2B,Q14289,CHEMBL5469,Kinase,0.0604245879294,1 /  1     ,NA,NA
Tyrosine-protein kinase BRK,PTK6,Q13882,CHEMBL4601,Kinase,0.0972399887602,12 /  0     ,NA,NA
Protein phosphatase 2A regulatory subunit B',PTPA,Q15257,CHEMBL2505,Phosphatase,0.0642387798076,0 /  3     ,NA,NA
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.033970689612,0 /  23     ,NA,NA
Protein-tyrosine phosphatase 2C,PTPN11,Q06124,CHEMBL3864,Phosphatase,0.0626219668353,16 /  2     ,NA,NA
T-cell protein-tyrosine phosphatase,PTPN2,P17706,CHEMBL3807,Phosphatase,0.0743922719035,0 /  26     ,NA,NA
Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP,PTPN22,Q9Y2R2,CHEMBL2889,Phosphatase,0.0443083186041,0 /  1     ,NA,NA
Protein-tyrosine phosphatase 1C,PTPN6,P29350,CHEMBL3166,Phosphatase,0.0978745343258,2 /  1     ,NA,NA
Receptor-type tyrosine-protein phosphatase alpha,PTPRA,P18433,CHEMBL3918,Phosphatase,0.0604245879294,2 /  0     ,NA,NA
Leukocyte common antigen,PTPRC,P08575,CHEMBL3243,Enzyme,0.0238327432783,0 /  1     ,NA,NA
Receptor-type tyrosine-protein phosphatase F (LAR),PTPRF,P10586,CHEMBL3521,Membrane receptor,0.0626219668353,23 /  1     ,NA,NA
Receptor-type tyrosine-protein phosphatase S,PTPRS,Q13332,CHEMBL2396508,Phosphatase,0.100578902067,7 /  0     ,NA,NA
Brain glycogen phosphorylase,PYGB,P11216,CHEMBL3856,Enzyme,0.0312265582077,3 /  0     ,NA,NA
Liver glycogen phosphorylase,PYGL,P06737,CHEMBL2568,Enzyme,0.0312265582077,3 /  0     ,NA,NA
Muscle glycogen phosphorylase,PYGM,P11217,CHEMBL3526,Enzyme,0.0312265582077,5 /  0     ,NA,NA
Dihydropteridine reductase,QDPR,P09417,CHEMBL3730,Enzyme,0.0238327432783,6 /  0     ,NA,NA
Glutaminyl-peptide cyclotransferase,QPCT,Q16769,CHEMBL4508,Enzyme,0.113285953487,69 /  0     ,NA,NA
Glutaminyl-peptide cyclotransferase-like protein,QPCTL,Q9NXS2,CHEMBL3638349,Transferase,0.113285953487,8 /  0     ,NA,NA
Serine/threonine-protein kinase RAF,RAF1,P04049,CHEMBL1906,Kinase,0.0535560755162,55 /  0     ,NA,NA
Retinoic acid receptor alpha,RARA,P10276,CHEMBL2055,Nuclear receptor,0.0535560755162,124 /  0     ,NA,NA
Retinoic acid receptor beta,RARB,P10826,CHEMBL2008,Nuclear receptor,0.0535560755162,135 /  0     ,NA,NA
Retinoic acid receptor gamma,RARG,P13631,CHEMBL2003,Nuclear receptor,0.0535560755162,129 /  0     ,NA,NA
RAS guanyl-releasing protein 1   (by homology),RASGRP1,O95267,CHEMBL5953,Other cytosolic protein,0.0604245879294,1 /  0     ,NA,NA
RAS guanyl releasing protein 3,RASGRP3,Q8IV61,CHEMBL3638,Other cytosolic protein,0.106165761464,1 /  0     ,NA,NA
Plasma retinol-binding protein,RBP4,P02753,CHEMBL3100,Secreted protein,0.0604245879294,21 /  0     ,NA,NA
LSD1/CoREST complex,RCOR1 KDM1A,Q9UKL0 O60341,CHEMBL3137262,Eraser,0.109339753231,0 /  2     ,NA,NA
Nuclear factor NF-kappa-B p65 subunit,RELA,Q04206,CHEMBL5533,Transcription factor,0.0951255886644,0 /  12     ,NA,NA
Renin,REN,P00797,CHEMBL286,Protease,0.0443083186041,0 /  8     ,NA,NA
Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET,RET,P07949,CHEMBL2041,Kinase,0.0535560755162,90 /  0     ,NA,NA
Transforming protein RhoA,RHOA,P61586,CHEMBL6052,Unclassified protein,0.112041901328,4 /  0     ,NA,NA
Serine/threonine-protein kinase RIPK2,RIPK2,O43353,CHEMBL5014,Kinase,0.109339753231,8 /  0     ,NA,NA
Ribonuclease H1,RNASEH1,O60930,CHEMBL5893,Enzyme,0.0428942118511,1 /  0     ,NA,NA
Aminopeptidase B,RNPEP,Q9H4A4,CHEMBL2432,Protease,0.0312265582077,2 /  0     ,NA,NA
Rho-associated protein kinase 1,ROCK1,Q13464,CHEMBL3231,Kinase,0.0238327432783,29 /  0     ,NA,NA
Rho-associated protein kinase 2,ROCK2,O75116,CHEMBL2973,Kinase,0.033970689612,0 /  59     ,NA,NA
Nuclear receptor ROR-alpha,RORA,P35398,CHEMBL5868,Nuclear receptor,0.0535560755162,1 /  4     ,NA,NA
Nuclear receptor ROR-beta,RORB,Q92753,CHEMBL3091268,Nuclear receptor,0.0535560755162,1 /  0     ,NA,NA
Nuclear receptor ROR-gamma,RORC,P51449,CHEMBL1741186,Nuclear receptor,0.0642387798076,0 /  2     ,NA,NA
Proto-oncogene tyrosine-protein kinase ROS,ROS1,P08922,CHEMBL5568,Kinase,0.0822215166115,33 /  0     ,NA,NA
Ribosomal protein S6 kinase alpha 1,RPS6KA1,Q15418,CHEMBL2553,Kinase,0.0978745343258,6 /  0     ,NA,NA
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.048952897826,6 /  0     ,NA,NA
Ribosomal protein S6 kinase alpha 5,RPS6KA5,O75582,CHEMBL4237,Kinase,0.0535560755162,1 /  0     ,NA,NA
Ribosomal protein S6 kinase 1,RPS6KB1,P23443,CHEMBL4501,Kinase,0.0535560755162,43 /  0     ,NA,NA
Retinoid X receptor alpha,RXRA,P19793,CHEMBL2061,Nuclear receptor,0.0535560755162,210 /  0     ,NA,NA
Retinoid X receptor beta,RXRB,P28702,CHEMBL1870,Nuclear receptor,0.0535560755162,69 /  0     ,NA,NA
Retinoid X receptor gamma   (by homology),RXRG,P48443,CHEMBL2004,Nuclear receptor,0.0535560755162,105 /  0     ,NA,NA
Sphingosine 1-phosphate receptor Edg-1,S1PR1,P21453,CHEMBL4333,Family A G protein-coupled receptor,0.0312265582077,0 /  13     ,NA,NA
Sphingosine 1-phosphate receptor Edg-5,S1PR2,O95136,CHEMBL2955,Family A G protein-coupled receptor,0.0312265582077,0 /  7     ,NA,NA
Sphingosine 1-phosphate receptor Edg-3,S1PR3,Q99500,CHEMBL3892,Family A G protein-coupled receptor,0.0312265582077,0 /  11     ,NA,NA
SUMO-activating enzyme,SAE1 UBA2,Q9UBE0 Q9UBT2,CHEMBL2095174,Enzyme,0.0535560755162,0 /  2     ,NA,NA
Serine/threonine-protein kinase SBK1,SBK1,Q52WX2,CHEMBL1163129,Kinase,0.0822215166115,4 /  0     ,NA,NA
Acyl-CoA desaturase,SCD,O00767,CHEMBL5555,Enzyme,0.0535560755162,11 /  1     ,NA,NA
Sodium channel protein type V alpha subunit,SCN5A,Q14524,CHEMBL1980,Voltage-gated ion channel,0.0604245879294,11 /  0     ,NA,NA
Sodium channel protein type IX alpha subunit,SCN9A,Q15858,CHEMBL4296,Voltage-gated ion channel,0.0312265582077,247 /  0     ,NA,NA
Selectin E,SELE,P16581,CHEMBL3890,Adhesion,0.041891066893,0 /  4     ,NA,NA
Leukocyte adhesion molecule-1,SELL,P14151,CHEMBL3161,Adhesion,0.041891066893,0 /  12     ,NA,NA
P-selectin,SELP,P16109,CHEMBL5378,Adhesion,0.041891066893,0 /  24     ,NA,NA
Corticosteroid binding globulin,SERPINA6,P08185,CHEMBL2421,Secreted protein,0.0238327432783,0 /  3     ,NA,NA
Plasminogen activator inhibitor-1,SERPINE1,P05121,CHEMBL3475,Secreted protein,0.0439186325197,0 /  8     ,NA,NA
Collagen-binding protein 1,SERPINH1,P50454,CHEMBL5286,Other cytosolic protein,0.0535560755162,1 /  0     ,NA,NA
Splicing factor 3B subunit 3,SF3B3,Q15393,CHEMBL1250378,Unclassified protein,0.041891066893,8 /  0     ,NA,NA
Secreted frizzled-related protein 1,SFRP1,Q8N474,CHEMBL5517,Unclassified protein,0.0978745343258,1 /  0     ,NA,NA
Serine/threonine-protein kinase Sgk1,SGK1,O00141,CHEMBL2343,Kinase,0.100578902067,1 /  0     ,NA,NA
Testis-specific androgen-binding protein,SHBG,P04278,CHEMBL3305,Secreted protein,0.0238327432783,0 /  12     ,NA,NA
Sonic hedgehog protein   (by homology),SHH,Q15465,CHEMBL5602,Unclassified protein,0.041891066893,23 /  0     ,NA,NA
Sucrase-isomaltase,SI,P14410,CHEMBL2748,Enzyme,0.041891066893,0 /  8     ,NA,NA
Sigma opioid receptor,SIGMAR1,Q99720,CHEMBL287,Membrane receptor,0.0535560755162,0 /  4     ,NA,NA
NAD-dependent deacetylase sirtuin 1,SIRT1,Q96EB6,CHEMBL4506,Eraser,0.0535560755162,17 /  0     ,NA,NA
NAD-dependent deacetylase sirtuin 2,SIRT2,Q8IXJ6,CHEMBL4462,Eraser,0.033970689612,0 /  1     ,NA,NA
NAD-dependent deacetylase sirtuin 3,SIRT3,Q9NTG7,CHEMBL4461,Eraser,0.033970689612,0 /  1     ,NA,NA
Ileal bile acid transporter,SLC10A2,Q12908,CHEMBL2778,Electrochemical transporter,0.0604245879294,41 /  0     ,NA,NA
Solute carrier family 13 member 5,SLC13A5,Q86YT5,CHEMBL3769293,Electrochemical transporter,0.0312265582077,7 /  3     ,NA,NA
Oligopeptide transporter small intestine isoform,SLC15A1,P46059,CHEMBL4605,Electrochemical transporter,0.116739032206,3 /  3     ,NA,NA
Monocarboxylate transporter 1   (by homology),SLC16A1,P53985,CHEMBL4360,Electrochemical transporter,0.0238327432783,5 /  0     ,NA,NA
Monocarboxylate transporter 4,SLC16A3,O15427,CHEMBL2073663,Electrochemical transporter,0.0428942118511,6 /  0     ,NA,NA
Vesicular acetylcholine transporter,SLC18A3,Q16572,CHEMBL4767,Electrochemical transporter,0.0238327432783,0 /  8     ,NA,NA
Folate transporter 1,SLC19A1,P41440,CHEMBL4833,Electrochemical transporter,0.231022922975,13 /  13     ,NA,NA
Excitatory amino acid transporter 3,SLC1A1,P43005,CHEMBL2721,Electrochemical transporter,0.0238327432783,0 /  3     ,NA,NA
Excitatory amino acid transporter 2,SLC1A2,P43004,CHEMBL4973,Electrochemical transporter,0.0238327432783,2 /  3     ,NA,NA
Solute carrier family 22 member 12,SLC22A12,Q96S37,CHEMBL6120,Electrochemical transporter,0.0312265582077,4 /  0     ,NA,NA
Solute carrier family 22 member 2,SLC22A2,O15244,CHEMBL1743122,Electrochemical transporter,0.11150186548,0 /  1     ,NA,NA
Solute carrier family 22 member 6   (by homology),SLC22A6,Q4U2R8,CHEMBL1641347,Electrochemical transporter,0.0238327432783,0 /  2     ,NA,NA
Sodium/nucleoside cotransporter 2,SLC28A2,O43868,CHEMBL5780,Electrochemical transporter,0.041891066893,9 /  0     ,NA,NA
Equilibrative nucleoside transporter 1,SLC29A1,Q99808,CHEMBL1997,Electrochemical transporter,0.041891066893,32 /  0     ,NA,NA
Acetyl-coenzyme A transporter 1,SLC33A1,O00400,CHEMBL3638338,Electrochemical transporter,0.041891066893,68 /  0     ,NA,NA
Proton-coupled folate transporter,SLC46A1,Q96NT5,CHEMBL1795188,Electrochemical transporter,0.156339771212,14 /  14     ,NA,NA
Multidrug and toxin extrusion protein 1,SLC47A1,Q96FL8,CHEMBL1743126,Electrochemical transporter,0.041891066893,1 /  1     ,NA,NA
Multidrug and toxin extrusion protein 2,SLC47A2,Q86VL8,CHEMBL1743127,Electrochemical transporter,0.041891066893,1 /  1     ,NA,NA
Sodium/glucose cotransporter 1,SLC5A1,P13866,CHEMBL4979,Electrochemical transporter,0.0312265582077,1 /  0     ,NA,NA
Sodium/glucose cotransporter 2,SLC5A2,P31639,CHEMBL3884,Electrochemical transporter,0.0822215166115,636 /  0     ,NA,NA
Low affinity sodium-glucose cotransporter,SLC5A4,Q9NY91,CHEMBL1770047,Electrochemical transporter,0.0535560755162,9 /  0     ,NA,NA
GABA transporter 1,SLC6A1,P30531,CHEMBL1903,Electrochemical transporter,0.0238327432783,0 /  1     ,NA,NA
GABA transporter 3,SLC6A11,P48066,CHEMBL5208,Electrochemical transporter,0.0238327432783,0 /  1     ,NA,NA
Betaine transporter,SLC6A12,P48065,CHEMBL3715,Electrochemical transporter,0.0238327432783,1 /  3     ,NA,NA
GABA transporter 2   (by homology),SLC6A13,Q9NSD5,CHEMBL4535,Electrochemical transporter,0.0238327432783,0 /  1     ,NA,NA
Norepinephrine transporter,SLC6A2,P23975,CHEMBL222,Electrochemical transporter,0.0312265582077,0 /  12     ,NA,NA
Dopamine transporter   (by homology),SLC6A3,Q01959,CHEMBL238,Electrochemical transporter,0.0238327432783,0 /  26     ,NA,NA
Serotonin transporter   (by homology),SLC6A4,P31645,CHEMBL228,Electrochemical transporter,0.0238327432783,0 /  46     ,NA,NA
Glycine transporter 1,SLC6A9,P48067,CHEMBL2337,Electrochemical transporter,0.0604245879294,36 /  0     ,NA,NA
L-type amino acid transporter 1,SLC7A5,Q01650,CHEMBL4459,Electrochemical transporter,0.0439186325197,0 /  4     ,NA,NA
Sodium/hydrogen exchanger 1,SLC9A1,P19634,CHEMBL2781,Electrochemical transporter,0.0535560755162,46 /  0     ,NA,NA
Sodium/hydrogen exchanger 2,SLC9A2,Q9UBY0,CHEMBL3133,Electrochemical transporter,0.104671941128,1 /  0     ,NA,NA
Solute carrier organic anion transporter family member 1B1,SLCO1B1,Q9Y6L6,CHEMBL1697668,Electrochemical transporter,0.112041901328,1 /  0     ,NA,NA
Probable global transcription activator SNF2L2,SMARCA2,P51531,CHEMBL2362979,Reader,0.113285953487,1 /  0     ,NA,NA
Smoothened homolog,SMO,Q99835,CHEMBL5971,Frizzled family G protein-coupled receptor,0.100634432184,46 /  0     ,NA,NA
Alpha-synuclein,SNCA,P37840,CHEMBL6152,Unclassified protein,0.0978745343258,2 /  0     ,NA,NA
SNF-related serine/threonine-protein kinase,SNRK,Q9NRH2,CHEMBL1908384,Enzyme,0.0822215166115,1 /  0     ,NA,NA
Acyl coenzyme A:cholesterol acyltransferase 1,SOAT1,P35610,CHEMBL2782,Enzyme,0.11150186548,10 /  0     ,NA,NA
Acyl coenzyme A:cholesterol acyltransferase 2,SOAT2,O75908,CHEMBL4465,Enzyme,0.11150186548,1 /  0     ,NA,NA
Sorbitol dehydrogenase,SORD,Q00796,CHEMBL2275,Enzyme,0.109339753231,31 /  0     ,NA,NA
Neurotensin receptor 3,SORT1,Q99523,CHEMBL3091,Membrane receptor,0.0428942118511,11 /  0     ,NA,NA
Sphingosine kinase 1,SPHK1,Q9NYA1,CHEMBL4394,Enzyme,0.033970689612,0 /  2     ,NA,NA
SPRY domain-containing SOCS box protein 2,SPSB2,Q99619,CHEMBL3325308,Unclassified protein,0.100578902067,0 /  3     ,NA,NA
Squalene monooxygenase   (by homology),SQLE,Q14534,CHEMBL3592,Enzyme,0.0238327432783,0 /  4     ,NA,NA
Tyrosine-protein kinase SRC,SRC,P12931,CHEMBL267,Kinase,0.048952897826,10 /  232     ,NA,NA
Steroid 5-alpha-reductase 1,SRD5A1,P18405,CHEMBL1787,Oxidoreductase,0.0428942118511,4 /  0     ,NA,NA
Steroid 5-alpha-reductase 2,SRD5A2,P31213,CHEMBL1856,Oxidoreductase,0.0238327432783,0 /  2     ,NA,NA
Somatostatin receptor 1,SSTR1,P30872,CHEMBL1917,Family A G protein-coupled receptor,0.041891066893,0 /  3     ,NA,NA
Somatostatin receptor 2,SSTR2,P30874,CHEMBL1804,Family A G protein-coupled receptor,0.041891066893,0 /  5     ,NA,NA
Somatostatin receptor 3,SSTR3,P32745,CHEMBL2028,Family A G protein-coupled receptor,0.041891066893,0 /  7     ,NA,NA
Somatostatin receptor 4,SSTR4,P31391,CHEMBL1853,Family A G protein-coupled receptor,0.041891066893,0 /  5     ,NA,NA
Somatostatin receptor 5,SSTR5,P35346,CHEMBL1792,Family A G protein-coupled receptor,0.041891066893,0 /  12     ,NA,NA
"CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase",ST3GAL3,Q11203,CHEMBL3596076,Transferase,0.11150186548,0 /  1     ,NA,NA
"Beta-galactoside alpha-2,6-sialyltransferase 1",ST6GAL1,P15907,CHEMBL3596075,Transferase,0.0978745343258,0 /  2     ,NA,NA
Signal transducer and activator of transcription 1-alpha/beta,STAT1,P42224,CHEMBL6101,Transcription factor,0.11150186548,0 /  1     ,NA,NA
Signal transducer and activator of transcription 3,STAT3,P40763,CHEMBL4026,Transcription factor,0.0312265582077,7 /  0     ,NA,NA
Serine/threonine-protein kinase 16,STK16,O75716,CHEMBL3938,Kinase,0.104671941128,1 /  0     ,NA,NA
Serine/threonine-protein kinase 17A,STK17A,Q9UEE5,CHEMBL4525,Kinase,0.100578902067,5 /  0     ,NA,NA
Serine/threonine-protein kinase 17B,STK17B,O94768,CHEMBL3980,Kinase,0.100578902067,9 /  0     ,NA,NA
Serine/threonine-protein kinase MST4,STK26,Q9P289,CHEMBL5941,Kinase,0.0604245879294,5 /  0     ,NA,NA
Serine/threonine-protein kinase MST2,STK3,Q13188,CHEMBL4708,Kinase,0.0604245879294,11 /  0     ,NA,NA
Serine/threonine-protein kinase 38,STK38,Q15208,CHEMBL1075155,Kinase,0.0822215166115,2 /  0     ,NA,NA
STE20/SPS1-related proline-alanine-rich protein kinase,STK39,Q9UEW8,CHEMBL1163108,Kinase,0.0822215166115,2 /  0     ,NA,NA
Steryl-sulfatase,STS,P08842,CHEMBL3559,Enzyme,0.048952897826,0 /  4     ,NA,NA
Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.041891066893,353 /  0     ,NA,NA
Trace amine-associated receptor 1,TAAR1,Q96RJ0,CHEMBL5857,Family A G protein-coupled receptor,0.0238327432783,7 /  0     ,NA,NA
Neurokinin 1 receptor,TACR1,P25103,CHEMBL249,Family A G protein-coupled receptor,0.0238327432783,0 /  7     ,NA,NA
Neurokinin 2 receptor,TACR2,P21452,CHEMBL2327,Family A G protein-coupled receptor,0.0428942118511,0 /  2     ,NA,NA
T1R1/T1R3_UNCURATED,TAS1R3 TAS1R1,Q7RTX0 Q7RTX1,CHEMBL3832641,Family C G protein-coupled receptor,0.0428942118511,1 /  0     ,NA,NA
Taste receptor type 2 member 31,TAS2R31,P59538,CHEMBL2034804,Taste family G protein-coupled receptor,0.0743922719035,0 /  1     ,NA,NA
Serine/threonine-protein kinase TBK1,TBK1,Q9UHD2,CHEMBL5408,Kinase,0.109339753231,2 /  0     ,NA,NA
Thromboxane A2 receptor,TBXA2R,P21731,CHEMBL2069,Family A G protein-coupled receptor,0.0428942118511,66 /  0     ,NA,NA
Thromboxane-A synthase,TBXAS1,P24557,CHEMBL1835,Cytochrome P450,0.0312265582077,13 /  0     ,NA,NA
"Tryptophan 2,3-dioxygenase   (by homology)",TDO2,P48775,CHEMBL2140,Enzyme,0.0312265582077,1 /  0     ,NA,NA
Tyrosyl-DNA phosphodiesterase 1,TDP1,Q9NUW8,CHEMBL1075138,Enzyme,0.100578902067,4 /  0     ,NA,NA
Tyrosyl-DNA phosphodiesterase 2,TDP2,O95551,CHEMBL2169736,Enzyme,0.0428942118511,1 /  0     ,NA,NA
Tyrosine-protein kinase TIE-2,TEK,Q02763,CHEMBL4128,Kinase,0.0579568757034,0 /  1     ,NA,NA
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.0312265582077,2 /  0     ,NA,NA
TGF-beta receptor type I,TGFBR1,P36897,CHEMBL4439,Kinase,0.048952897826,2 /  0     ,NA,NA
Protein-glutamine gamma-glutamyltransferase,TGM2,P21980,CHEMBL2730,Enzyme,0.0238327432783,2 /  9     ,NA,NA
Tyrosine 3-hydroxylase,TH,P07101,CHEMBL1969,Oxidoreductase,0.0238327432783,1 /  0     ,NA,NA
Thyroid hormone receptor alpha,THRA,P10827,CHEMBL1860,Nuclear receptor,0.0312265582077,0 /  21     ,NA,NA
Thyroid hormone receptor beta-1,THRB,P10828,CHEMBL1947,Nuclear receptor,0.0312265582077,0 /  22     ,NA,NA
"Thymidine kinase, cytosolic",TK1,P04183,CHEMBL2883,Transferase,0.0535560755162,8 /  0     ,NA,NA
Toll-like receptor 4   (by homology),TLR4,O00206,CHEMBL5255,Toll-like and Il-1 receptors,0.0717871625222,0 /  20     ,NA,NA
Toll-like receptor (TLR7/TLR9),TLR9,Q9NR96,CHEMBL5804,Toll-like and Il-1 receptors,0.0978745343258,0 /  2     ,NA,NA
TNF-alpha,TNF,P01375,CHEMBL1825,Secreted protein,0.0428381527054,144 /  0     ,NA,NA
TRAIL receptor-1,TNFRSF10A,O00220,CHEMBL3551,Membrane receptor,0.0604245879294,0 /  2     ,NA,NA
Tyrosine kinase non-receptor protein 2,TNK2,Q07912,CHEMBL4599,Kinase,0.101613854776,12 /  0     ,NA,NA
Tankyrase-1,TNKS,O95271,CHEMBL6164,Enzyme,0.0428942118511,1 /  0     ,NA,NA
Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,0.0535560755162,27 /  0     ,NA,NA
"Troponin, cardiac muscle",TNNC1 TNNT2 TNNI3,P63316 P45379 P19429,CHEMBL2095202,Unclassified protein,0.0312265582077,3 /  0     ,NA,NA
Serine/threonine-protein kinase TNNI3K,TNNI3K,Q59H18,CHEMBL5260,Kinase,0.104671941128,51 /  0     ,NA,NA
DNA topoisomerase I,TOP1,P11387,CHEMBL1781,Isomerase,0.0626219668353,2 /  3     ,NA,NA
DNA topoisomerase II alpha,TOP2A,P11388,CHEMBL1806,Isomerase,0.0535560755162,0 /  2     ,NA,NA
Thiopurine S-methyltransferase,TPMT,P51580,CHEMBL2500,Enzyme,0.0312265582077,4 /  0     ,NA,NA
Transient receptor potential cation channel subfamily A member 1,TRPA1,O75762,CHEMBL6007,Voltage-gated ion channel,0.033970689612,0 /  1     ,NA,NA
Transient receptor potential cation channel subfamily M member 6,TRPM6,Q9BX84,CHEMBL1628470,Voltage-gated ion channel,0.104671941128,1 /  0     ,NA,NA
Transient receptor potential cation channel subfamily M member 8,TRPM8,Q7Z2W7,CHEMBL1075319,Voltage-gated ion channel,0.0604245879294,2 /  0     ,NA,NA
Vanilloid receptor,TRPV1,Q8NER1,CHEMBL4794,Voltage-gated ion channel,0.0238327432783,0 /  34     ,NA,NA
Transient receptor potential cation channel subfamily V member 3,TRPV3,Q8NET8,CHEMBL5522,Voltage-gated ion channel,0.0604245879294,1 /  0     ,NA,NA
Translocator protein   (by homology),TSPO,P30536,CHEMBL5742,Membrane receptor,0.100578902067,223 /  0     ,NA,NA
Dual specificity protein kinase TTK,TTK,P33981,CHEMBL3983,Kinase,0.041891066893,78 /  0     ,NA,NA
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.0743922719035,0 /  15     ,NA,NA
Transthyretin,TTR,P02766,CHEMBL3194,Secreted protein,0.0238327432783,0 /  7     ,NA,NA
Tubulin beta-1 chain,TUBB1,Q9H4B7,CHEMBL1915,Structural protein,0.0312265582077,0 /  6     ,NA,NA
Tubulin beta-3 chain,TUBB3,Q13509,CHEMBL2597,Structural protein,0.0535560755162,2 /  0     ,NA,NA
Tyrosine-protein kinase TXK,TXK,P42681,CHEMBL4367,Kinase,0.0972399887602,4 /  0     ,NA,NA
Tyrosine-protein kinase TYK2,TYK2,P29597,CHEMBL3553,Kinase,0.0604245879294,44 /  0     ,NA,NA
Thymidine phosphorylase,TYMP,P19971,CHEMBL3106,Enzyme,0.0535560755162,10 /  0     ,NA,NA
Thymidylate synthase,TYMS,P04818,CHEMBL1952,Transferase,0.0312265582077,1 /  0     ,NA,NA
Tyrosinase,TYR,P14679,CHEMBL1973,Oxidoreductase,0.0535560755162,4 /  13     ,NA,NA
Tyrosine-protein kinase receptor TYRO3,TYRO3,Q06418,CHEMBL5314,Kinase,0.041891066893,53 /  0     ,NA,NA
Ceramide glucosyltransferase,UGCG,Q16739,CHEMBL2063,Transferase,0.100634432184,0 /  17     ,NA,NA
UDP-glucuronosyltransferase 2B7,UGT2B7,P16662,CHEMBL4370,Enzyme,0.0238327432783,0 /  4     ,NA,NA
Uridine phosphorylase 1   (by homology),UPP1,Q16831,CHEMBL4811,Enzyme,0.0428942118511,18 /  0     ,NA,NA
Urotensin II receptor,UTS2R,Q9UKP6,CHEMBL3764,Family A G protein-coupled receptor,0.0604245879294,11 /  0     ,NA,NA
Transitional endoplasmic reticulum ATPase,VCP,P55072,CHEMBL1075145,Primary active transporter,0.0972399887602,19 /  0     ,NA,NA
Vitamin D receptor,VDR,P11473,CHEMBL1977,Nuclear receptor,0.0238327432783,0 /  1     ,NA,NA
Vascular endothelial growth factor A,VEGFA,P15692,CHEMBL1783,Secreted protein,0.033970689612,0 /  2     ,NA,NA
Von Hippel-Lindau disease tumor suppressor/Elongin B/Elongin C,VHL,P40337,CHEMBL3108660,Unclassified protein,0.0822215166115,15 /  0     ,NA,NA
Serine/threonine-protein kinase WEE1,WEE1,P30291,CHEMBL5491,Kinase,0.0428942118511,1 /  0     ,NA,NA
Xanthine dehydrogenase,XDH,P47989,CHEMBL1929,Oxidoreductase,0.053517944289,0 /  1     ,NA,NA
Inhibitor of apoptosis protein 3,XIAP,P98170,CHEMBL4198,Other cytosolic protein,0.0690974435253,1 /  67     ,NA,NA
Xaa-Pro aminopeptidase 1,XPNPEP1,Q9NQW7,CHEMBL3782,Protease,0.0604245879294,1 /  5     ,NA,NA
Xaa-Pro aminopeptidase 2,XPNPEP2,O43895,CHEMBL4610,Protease,0.0604245879294,1 /  6     ,NA,NA
Tyrosine-protein kinase YES,YES1,P07947,CHEMBL2073,Kinase,0.0972399887602,5 /  0     ,NA,NA
14-3-3 protein gamma,YWHAG,P61981,CHEMBL1293296,Unclassified protein,0.053517944289,0 /  1     ,NA,NA
